type;color
ILD;255
ILM;1530
CILD;2805
CILM;4080
IDPH;5355
IMPH;6630
CIMP;7905
CIDP;9180
LLD;10455
LLS;11730
LLM;13005
LL7;14280
LL8;15555
LL;16830
LL9D;18105
LL9S;19380
LL3;20655
LLG;21930
MLL;23205
CLLD;24480
SN;25755
MNOR;27030
MINV;28305
SFL;29580
PSFL;30855
MSFL;32130
CSFA;33405
CSFL;34680
MEL;35955
FL;37230
ES;38505
PL;39780
PML;41055
SP;42330
GR;43605
CGR;44880
GNT;46155
NPHI;47430
DPHI;48705
EPHI;49980
TNPH;51255
DRHO;52530
RHOB;53805
PEF;55080
SGR;56355
URAN;57630
THOR;58905
POTA;60180
KTH;61455
UPRA;62730
TPRA;64005
TURA;65280
EPT;391680
DT;718080
DEVI;1044480
HAZI;1370880
P1AZ;1697280
RB;2023680
CALI;2350080
BS;2676480
HPGD;3002880
HPGP;3329280
HPP;3655680
SGP;3982080
PPG;4308480
TENS;4634880
RPD;4961280
RAR;5287680
R2AT;5614080
A2F;5940480
P2HS;6266880
D2EC;6593280
RESL;6919680
ROP;7246080
GR_CH;7572480
NPHI_CH;7898880
DT_CH;8225280
COR_CH;8551680
SIGM_CH;8878080
DPTR;9204480
DPAZ;9530880
PART;9857280
RT;10183680
RXO;10510080
DINV;10836480
RHOMA;11162880
KH;11489280
KV;11815680
SANDFLG;12142080
PAYFLG;12468480
SAND;12794880
LIME;13121280
DOLO;13447680
COAL;13774080
CONG;14100480
SALT;14426880
ANHYD;14753280
CALCI;15079680
VSILT;15406080
SHR;15732480
PORO;16058880
PHI;16385280
SW;16711680
SXO;16385285
VCL;16058890
UNKNOWN;15732495
VEL;15406100
AIMP;15079705
AIMPLN;14753310
REFC;14426915
SYN;14100520
CWETT;13774125
CRHOG;13447730
CCEC;13121335
CSO;12794940
CSW;12468545
CSWI;12142150
CSG;11815755
CPHI;11489360
CGAMMA;11162965
CPERM;10836570
VSH;10510175
CALT;10183780
ARSL;9857385
WOB;9530990
RPM;9204595
LPM;8878200
PV;8551805
MW;8225410
MUDTYPE;7899015
DMODE;7572620
nBit;7246225
nSec;6919830
BitWear;6593435
TEMP;6267040
SWI;5940645
DTS;5614250
VPVS;5287855
VSVP;4961460
POIS;4635065
BIOT;4308670
VP;3982275
VS;3655880
LN;3329485
RM;3003090
RMF;2676695
RMC;2350300
ATF2;2023905
ATF4;1697510
ATF6;1371115
ATF10;1044720
ATF20;718325
ATF60;391930
ATF90;65535
SIMP;391930
SMOD;718325
BMOD;1044720
YMOD;1371115
LAM1;1697510
GAMMA;2023905
AKRA;2350300
AKRB;2676695
AKRC;3003090
FATC1;3329485
FATC2;3655880
FATC3;3982275
